Kod TERYT,Nazwa województwa,Rok zgonu,Miesiąc zgonu,Liczba zgonów
02,DOLNOŚLĄSKIE,2020,01,2876
02,DOLNOŚLĄSKIE,2020,02,2796
02,DOLNOŚLĄSKIE,2020,03,2800
02,DOLNOŚLĄSKIE,2020,04,2753
02,DOLNOŚLĄSKIE,2020,05,2646
02,DOLNOŚLĄSKIE,2020,06,2591
02,DOLNOŚLĄSKIE,2020,07,2612
02,DOLNOŚLĄSKIE,2020,08,2658
02,DOLNOŚLĄSKIE,2020,09,2673
02,DOLNOŚLĄSKIE,2020,10,3685
02,DOLNOŚLĄSKIE,2020,11,5091
04,KUJAWSKO-POMORSKIE,2020,01,1982
04,KUJAWSKO-POMORSKIE,2020,02,1850
04,KUJAWSKO-POMORSKIE,2020,03,1987
04,KUJAWSKO-POMORSKIE,2020,04,1833
04,KUJAWSKO-POMORSKIE,2020,05,1775
04,KUJAWSKO-POMORSKIE,2020,06,1721
04,KUJAWSKO-POMORSKIE,2020,07,1753
04,KUJAWSKO-POMORSKIE,2020,08,1855
04,KUJAWSKO-POMORSKIE,2020,09,1820
04,KUJAWSKO-POMORSKIE,2020,10,2442
04,KUJAWSKO-POMORSKIE,2020,11,3093
06,LUBELSKIE,2020,01,2027
06,LUBELSKIE,2020,02,1959
06,LUBELSKIE,2020,03,2103
06,LUBELSKIE,2020,04,1854
06,LUBELSKIE,2020,05,1907
06,LUBELSKIE,2020,06,1835
06,LUBELSKIE,2020,07,1763
06,LUBELSKIE,2020,08,1915
06,LUBELSKIE,2020,09,1861
06,LUBELSKIE,2020,10,2742
06,LUBELSKIE,2020,11,3981
08,LUBUSKIE,2020,01,1016
08,LUBUSKIE,2020,02,852
08,LUBUSKIE,2020,03,940
08,LUBUSKIE,2020,04,943
08,LUBUSKIE,2020,05,876
08,LUBUSKIE,2020,06,811
08,LUBUSKIE,2020,07,900
08,LUBUSKIE,2020,08,936
08,LUBUSKIE,2020,09,907
08,LUBUSKIE,2020,10,1316
08,LUBUSKIE,2020,11,1800
10,ŁÓDZKIE,2020,01,2686
10,ŁÓDZKIE,2020,02,2653
10,ŁÓDZKIE,2020,03,2715
10,ŁÓDZKIE,2020,04,2494
10,ŁÓDZKIE,2020,05,2524
10,ŁÓDZKIE,2020,06,2488
10,ŁÓDZKIE,2020,07,2537
10,ŁÓDZKIE,2020,08,2594
10,ŁÓDZKIE,2020,09,2511
10,ŁÓDZKIE,2020,10,3701
10,ŁÓDZKIE,2020,11,4792
12,MAŁOPOLSKIE,2020,01,3003
12,MAŁOPOLSKIE,2020,02,2884
12,MAŁOPOLSKIE,2020,03,2961
12,MAŁOPOLSKIE,2020,04,2704
12,MAŁOPOLSKIE,2020,05,2750
12,MAŁOPOLSKIE,2020,06,2602
12,MAŁOPOLSKIE,2020,07,2824
12,MAŁOPOLSKIE,2020,08,2818
12,MAŁOPOLSKIE,2020,09,2807
12,MAŁOPOLSKIE,2020,10,4760
12,MAŁOPOLSKIE,2020,11,5549
14,MAZOWIECKIE,2020,01,5149
14,MAZOWIECKIE,2020,02,5160
14,MAZOWIECKIE,2020,03,5361
14,MAZOWIECKIE,2020,04,5011
14,MAZOWIECKIE,2020,05,4783
14,MAZOWIECKIE,2020,06,4679
14,MAZOWIECKIE,2020,07,4822
14,MAZOWIECKIE,2020,08,4965
14,MAZOWIECKIE,2020,09,5006
14,MAZOWIECKIE,2020,10,6619
14,MAZOWIECKIE,2020,11,9146
16,OPOLSKIE,2020,01,983
16,OPOLSKIE,2020,02,912
16,OPOLSKIE,2020,03,938
16,OPOLSKIE,2020,04,909
16,OPOLSKIE,2020,05,885
16,OPOLSKIE,2020,06,863
16,OPOLSKIE,2020,07,877
16,OPOLSKIE,2020,08,942
16,OPOLSKIE,2020,09,876
16,OPOLSKIE,2020,10,1357
16,OPOLSKIE,2020,11,1884
18,PODKARPACKIE,2020,01,1707
18,PODKARPACKIE,2020,02,1656
18,PODKARPACKIE,2020,03,1783
18,PODKARPACKIE,2020,04,1626
18,PODKARPACKIE,2020,05,1586
18,PODKARPACKIE,2020,06,1658
18,PODKARPACKIE,2020,07,1615
18,PODKARPACKIE,2020,08,1698
18,PODKARPACKIE,2020,09,1624
18,PODKARPACKIE,2020,10,2914
18,PODKARPACKIE,2020,11,3594
20,PODLASKIE,2020,01,1120
20,PODLASKIE,2020,02,1080
20,PODLASKIE,2020,03,1165
20,PODLASKIE,2020,04,1016
20,PODLASKIE,2020,05,1027
20,PODLASKIE,2020,06,956
20,PODLASKIE,2020,07,1028
20,PODLASKIE,2020,08,963
20,PODLASKIE,2020,09,1041
20,PODLASKIE,2020,10,1478
20,PODLASKIE,2020,11,2031
22,POMORSKIE,2020,01,2027
22,POMORSKIE,2020,02,2002
22,POMORSKIE,2020,03,2046
22,POMORSKIE,2020,04,1808
22,POMORSKIE,2020,05,1835
22,POMORSKIE,2020,06,1815
22,POMORSKIE,2020,07,1853
22,POMORSKIE,2020,08,1894
22,POMORSKIE,2020,09,1959
22,POMORSKIE,2020,10,2538
22,POMORSKIE,2020,11,3296
24,ŚLĄSKIE,2020,01,4689
24,ŚLĄSKIE,2020,02,4612
24,ŚLĄSKIE,2020,03,4735
24,ŚLĄSKIE,2020,04,4296
24,ŚLĄSKIE,2020,05,4355
24,ŚLĄSKIE,2020,06,4104
24,ŚLĄSKIE,2020,07,4245
24,ŚLĄSKIE,2020,08,4514
24,ŚLĄSKIE,2020,09,4299
24,ŚLĄSKIE,2020,10,6282
24,ŚLĄSKIE,2020,11,7736
26,ŚWIĘTOKRZYSKIE,2020,01,1264
26,ŚWIĘTOKRZYSKIE,2020,02,1279
26,ŚWIĘTOKRZYSKIE,2020,03,1418
26,ŚWIĘTOKRZYSKIE,2020,04,1195
26,ŚWIĘTOKRZYSKIE,2020,05,1192
26,ŚWIĘTOKRZYSKIE,2020,06,1186
26,ŚWIĘTOKRZYSKIE,2020,07,1137
